id,gender,age in 1st year,age at graduation,ethnicity,GPA 1st Year,GPA 2nd Year,GPA 3rd Year,GPA 4th Year,GPA - 5th Year,Job Placement - 3rd Year,Job Placement - 4th Year,Job Placement - 5th Year,Year of Graduation
0d643f4f-d437-5beb-b670-484221a40bdc,M,18,21,HISPANIC LATINO AMER,2.92,2.92,3.18,3.27,,,Yes,,4th Year
0dbe0e92-e130-5376-bca0-a43143eb9b78,F,18,21,ASIAN,3.59,3.59,3.59,3.59,,,,,4th Year
0e470bc7-8dbe-5543-958e-ffd072a48225,M,18,21,CAUCASN,3.29,3.29,3.29,3.29,,,,,4th Year
0e5e7666-88be-57d0-91ad-e9d6b27e8692,M,18,21,HISPANIC LATINO AMER,3.28,3.28,3.28,3.28,,,,,4th Year
0f4ca101-e2a2-5e96-adf3-2c487caf3e1c,M,18,21,HISPANIC LATINO AMER,3.42,3.32,3.32,3.42,,,,,4th Year
0f7164c2-ad2f-5314-8ea6-0da6dce8c85b,M,18,21,CAUCASN,2.93,2.93,2.93,3.27,,,Yes,,4th Year
0f7d5bb5-172d-5295-a3fa-c81a9bb87167,M,18,21,ASIAN,3.36,3.36,3.36,3.36,,,,,4th Year
0f8451c2-be76-5404-a8cc-01ddfd788d0a,M,18,21,CAUCASN,3.01,2.88,2.88,3.01,,,,,4th Year
10172e54-0ae5-52c4-a39a-68cf39b835fc,M,18,21,HISPANIC LATINO AMER,3.4,3.4,3.4,3.4,,,Yes,,4th Year
10bf1bcb-07f3-5c33-9556-748dad429ccd,M,18,21,ASIAN,3.28,3.28,3.28,3.28,,,,,4th Year
113c4203-e830-5c32-946d-ddddc8eefc5c,F,18,21,HISPANIC LATINO AMER,3,3,3.09,3,,,Yes,,4th Year
114a4b0a-91a3-5e6c-8e68-6f2c80a78da1,M,18,21,CAUCASN,3.06,2.81,3,3.06,,,Yes,,4th Year
11afc059-b665-53d3-ad83-89cf7982cd9e,M,18,21,ASIAN,2.77,2.77,2.77,3.08,,,Yes,,4th Year
11e48052-60e7-5737-9550-9afb5182252d,M,18,21,ASIAN,3.58,3.58,3.58,3.58,,,,,4th Year
121396c7-4539-58b1-ab4c-04c8a4bafbca,M,18,21,ASIAN,2.82,2.82,3,3.05,,,Yes,,4th Year
13893e9a-cd34-5f76-812d-4f6d412c2569,M,18,21,HISPANIC LATINO AMER,3.39,3.18,2.88,3.39,,,,,4th Year
140c153b-ae38-56ef-9fe1-202c6a9d325e,M,18,21,ASIAN,3.2,3.2,3.2,3.2,,,Yes,,4th Year
1448d4f9-257d-5ad4-a006-e2271d981c7b,M,18,21,CAUCASN,3.32,3.32,3.32,3.32,,,Yes,,4th Year
146b2146-1c66-5906-99bc-70aff13368c5,M,18,21,ASIAN,3.28,3.28,3.28,3.28,,,,,4th Year
1495012f-909d-5c93-8f33-bda373b5c6f2,M,18,21,ASIAN,3.01,3.01,3.1,3.13,,,Yes,,4th Year
14a8d412-830a-5b5a-8493-c9fb8ce55ccf,F,18,21,ASIAN,2.79,2.69,2.69,3.01,,,,,4th Year
14ba43b9-6ad0-56ad-a776-2903d217775c,M,18,21,ASIAN,3.64,3.43,3.43,3.64,,,,,4th Year
14d0ac8f-697d-51c1-90c0-f8fbcfc4ec1a,M,18,21,HISPANIC LATINO AMER,2.79,2.76,2.76,3.08,,,Yes,,4th Year
14d14292-c296-5f45-a6ec-71cd661c68f0,M,18,21,CAUCASN,3.5,3.5,3.5,3.5,,,Yes,,4th Year
150b2013-f7c6-5bfd-87c8-bd5815961604,M,18,21,CAUCASN,3.59,3.59,3.59,3.59,,,,,4th Year
167adc31-d6cd-508b-8cb0-c926637d3fee,M,18,21,ASIAN,3,2.8,2.8,3,,,,,4th Year
167dadd3-e7cc-5df5-9068-3fadbd3c6eb1,M,18,21,HISPANIC LATINO AMER,3.26,3.26,3.26,3.25,,,,,4th Year
1694806b-5141-50e0-9f0c-caf5f5d0e6c2,F,18,21,CAUCASN,3.67,3.67,3.67,3.67,,,Yes,,4th Year
16af0048-30ac-5809-94e9-5afa0762f8c2,M,18,21,AMER-IND,3.07,3.07,3.18,3.07,,,Yes,,4th Year
16caf296-b75e-5070-bcae-c9198c2b90cf,F,18,21,ASIAN,2.94,2.94,3,3.27,,,Yes,,4th Year
1774a09a-0e87-5167-94e5-c6703abbaf67,F,18,21,CAUCASN,3.97,3.86,3.86,3.92,,,,,4th Year
17cc2bd8-d295-5fe9-ae92-c15b2f418450,F,18,21,CAUCASN,2.45,2.58,2.71,3.07,,,,,4th Year
18a11fab-6275-5200-8c6b-173b30113699,M,18,21,ASIAN,3.68,3.45,3.45,3.68,,,Yes,,4th Year
